Tag,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06
javascript,2626,2658,3004,3038,3241,3512,3913,4071,4087,4192,4634,5052,5518,5707,6902,7092,7445,7845,8258,9116,8387,8217,8893,8529,9849,10271,11005,11041,11868,12124,13371,13520,12075,13475,13389,12755,15150,15373,17104,17155,17634,17048
java,3795,3651,4523,3953,4223,4387,4631,4842,4835,5170,5739,5842,6726,7084,8760,8139,8838,8162,8409,8937,8579,8801,9906,9503,10491,11361,12853,12532,12643,12028,13438,13264,12645,14750,14971,13637,15212,15407,17874,18426,18489,16541
php,3502,3212,3813,3710,4050,4192,4735,5289,4830,4658,5288,5568,6614,6939,8434,7960,8365,8333,9041,9314,8484,8425,9103,8749,9779,10402,11427,10949,11530,11585,12963,13133,12123,13277,13215,12310,14505,14449,16474,15649,16487,15913
android,963,1079,1319,1433,1623,2086,2553,3039,2894,3121,3875,4082,4785,5642,6910,7111,7614,7746,8037,8417,8293,7839,8917,8684,9554,10475,11585,10976,11246,12181,13872,12635,12143,12965,12697,12837,15162,13614,15562,15188,16461,15408
c#,5166,5174,6117,5864,6045,6246,6823,7130,6541,6885,7445,7261,8152,8414,10214,9514,10245,10013,9889,10332,9567,9430,10144,9594,10743,11038,11996,11489,11964,12189,13318,12953,12241,13784,13316,11924,14081,13838,15885,15479,15773,14941
jquery,2342,2337,2900,2753,2806,3110,3566,3830,3695,3822,4131,4284,4937,5086,6292,6305,6636,6678,7342,7819,7234,7228,7549,7499,8309,9005,9403,9066,9929,10070,10886,11213,9884,11001,10803,10012,11913,11817,13500,13305,13524,13127
python,1974,1872,2089,1836,2037,2251,2664,2525,2288,2714,2659,2538,2952,3074,3819,3405,3584,3522,3746,3887,3592,3688,3940,3707,4262,4563,5128,5029,5209,5532,6061,6129,5522,6512,6762,6105,6968,7286,8269,8571,8734,8325
html,1337,1219,1374,1378,1441,1601,1928,1961,1850,1798,2091,2323,2671,2591,3463,3132,3366,3457,3745,3901,3590,3589,3847,3711,4279,4553,4742,4757,5125,5271,6105,6150,5648,5940,6148,6086,6995,6898,8019,8061,8256,8116
ios,24,27,35,40,46,62,113,247,370,490,699,869,1225,1282,1592,1813,2432,2637,2752,3482,3461,3658,4326,4219,5024,5169,5699,5686,6086,6272,7016,7065,6589,7689,7171,6494,7497,6795,7825,7753,8037,7181
c++,2022,2301,2471,2523,2437,2880,2727,2709,2807,3006,3450,3193,3592,3540,4279,4292,4036,3947,3944,4060,4052,4474,4621,4497,4711,5252,5394,5487,5156,4940,5646,5503,5232,6328,6728,6115,6550,6673,7800,7755,7900,6991
mysql,1386,1338,1665,1610,1664,1798,1837,2051,1897,2022,2282,2243,2867,2930,3513,3416,3292,3455,3672,3940,3572,3565,3930,3648,4125,4316,4893,4784,4876,5081,5525,5377,4988,5597,5571,5268,6218,6050,7016,6904,6914,6510
css,969,958,1143,1139,1141,1255,1407,1531,1377,1453,1531,1690,1982,2091,2546,2471,2556,2682,2960,3129,2935,2984,3040,2898,3460,3755,3828,3730,4032,4061,4691,4865,4339,4749,4714,4602,5344,5324,6170,6288,6263,6054
sql,1261,1294,1468,1328,1459,1638,1850,1939,1750,1875,1988,1904,2370,2149,2669,2315,2741,2677,2728,2711,2630,2616,2892,2637,2831,3190,3661,3415,3570,3439,3885,3865,3768,4310,4547,4049,4881,4858,5607,5468,5592,5271
asp.net,2255,2213,2573,2353,2511,2512,2692,2824,2607,2607,2715,2713,3161,3275,4029,3967,3976,3815,3886,3856,3565,3513,3703,3443,3800,3840,4106,3869,3983,4169,4380,4329,4050,4564,4165,3870,4531,4508,4956,5025,5042,4716
objective-c,986,1007,1120,1165,1313,1451,1959,1907,1678,1761,1851,1865,2205,2483,3115,3349,3572,3421,3815,3920,3341,3345,3661,3394,3860,3946,3923,4013,3967,4096,4672,4599,3677,4502,4187,4012,4459,4329,4859,4480,4421,3873
ruby-on-rails,1071,1077,1191,1167,1321,1374,1503,1545,1674,1988,1921,2025,2307,2393,2943,2526,2642,2555,2636,2937,2688,2658,2723,2528,2913,3074,3396,3168,3270,3324,3727,3686,3163,3631,3503,3207,3796,3652,4157,4063,3996,3845
c,998,1049,1133,1203,1205,1191,1314,1407,1424,1485,1705,1501,1513,1675,2146,2102,1901,1838,1712,1887,1984,2202,2282,2063,2287,2465,2835,2748,2567,2459,2523,2444,2692,3365,3384,2739,3116,3332,3726,3862,3661,3337
